image_id,category,subject,model,field,ground_truth,model_answer,verdict,notes
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-3.5-flash,date,1611-1666,1650,correct,
lot-daughters,old_testament,Lot and His Daughters,gemini:gemini-3.5-flash,collection,,"Musée du Louvre, Paris",correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-2.5-pro,title,The Child Moses Trampling on the Crown of the Pharoahs.,The Adoration of the Magi,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-2.5-pro,artist,"Tiepolo, Giovanni Battista",Giovanni Battista Tiepolo,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-2.5-pro,date,1716-1770,ca. 1753,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-2.5-pro,collection,,The Metropolitan Museum of Art,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-3.5-flash,title,The Child Moses Trampling on the Crown of the Pharoahs.,The Presentation in the Temple,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-3.5-flash,artist,"Tiepolo, Giovanni Battista",Giovanni Battista Tiepolo,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-3.5-flash,date,1716-1770,c. 1735-1740,correct,
moses-crown-pharaoh,old_testament,The Child Moses Trampling on the Crown of the Pharaohs,gemini:gemini-3.5-flash,collection,,"Gemäldegalerie Alte Meister, Dresden",correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-2.5-pro,title,The Story of the Syrian Captain Naaman.,Triptych of the Baptism of Christ,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-2.5-pro,artist,"Engelbrechtszoon, Cornelis",Hieronymus Bosch,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-2.5-pro,date,1488-1533,c. 1500,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-2.5-pro,collection,,Royal Museums of Fine Arts of Belgium,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-3.5-flash,title,The Story of the Syrian Captain Naaman.,Triptych with the Baptism of Christ,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-3.5-flash,artist,"Engelbrechtszoon, Cornelis",Lucas van Leyden,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-3.5-flash,date,1488-1533,1521,correct,
naaman-syrian,old_testament,The Story of the Syrian Captain Naaman,gemini:gemini-3.5-flash,collection,,"Museo Nacional Thyssen-Bornemisza, Madrid",correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-2.5-pro,title,Josephs Keuschheit,La castità di Giuseppe (The Chastity of Joseph),correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-2.5-pro,artist,"Bilivert, Giovanni",Giovanni Biliverti,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-2.5-pro,date,,,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-2.5-pro,collection,Galleria Nazionale d'arte Antica,Galleria Barberini,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-3.5-flash,title,Josephs Keuschheit,The Chastity of Joseph,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-3.5-flash,artist,"Bilivert, Giovanni",Giovanni Bilivert,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-3.5-flash,date,,1624,correct,
potiphar-wife,old_testament,Potiphar's wife catches Joseph by his robe; Joseph escapes leaving his cloak behind,gemini:gemini-3.5-flash,collection,Galleria Nazionale d'arte Antica,"Galleria Nazionale d'Arte Antica, Palazzo Barberini",correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-2.5-pro,title,The Prodigal Son is being chased from the brotherl after spending all his money (Luke 15:13),The Charlatan,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-2.5-pro,artist,"Bredael, Peeter van",Jan Miel,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-2.5-pro,date,after 1658,c. 1650,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-2.5-pro,collection,,"Alte Pinakothek, Munich",correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-3.5-flash,title,The Prodigal Son is being chased from the brotherl after spending all his money (Luke 15:13),The Interrupted Serenade,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-3.5-flash,artist,"Bredael, Peeter van",Jan Miel,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-3.5-flash,date,after 1658,c. 1640,correct,
prodigal-son-brothel,old_testament,The Prodigal Son chased from the brothel after spending all his money (Luke 15:13),gemini:gemini-3.5-flash,collection,,"State Hermitage Museum, St. Petersburg",correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-2.5-pro,title,Sacrifice of Jephthah.,The Massacre of the Innocents,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-2.5-pro,artist,"Mazzoni, Sebastiano",Peter Paul Rubens,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-2.5-pro,date,1631-1678,c. 1636-1638,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-2.5-pro,collection,,"Alte Pinakothek, Munich",correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-3.5-flash,title,Sacrifice of Jephthah.,Coresus Sacrificing Himself to Save Callirhoe,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-3.5-flash,artist,"Mazzoni, Sebastiano",Jean-Honoré Fragonard,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-3.5-flash,date,1631-1678,1765,correct,
sacrifice-jephthah,old_testament,Sacrifice of Jephthah,gemini:gemini-3.5-flash,collection,,Musée du Louvre,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-2.5-pro,title,"Samson breaks the pillars; the temple of Dagon collapses, killing all that are in it (Judges 16:29-31)",The Death of Samson,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-2.5-pro,artist,"Rubens, Peter Paul [manner of/after]",Peter Paul Rubens,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-2.5-pro,date,first half 17th century,c. 1605,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-2.5-pro,collection,,J. Paul Getty Museum,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-3.5-flash,title,"Samson breaks the pillars; the temple of Dagon collapses, killing all that are in it (Judges 16:29-31)",Samson Destroying the Temple,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-3.5-flash,artist,"Rubens, Peter Paul [manner of/after]",Valerio Castello,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-3.5-flash,date,first half 17th century,c. 1650,correct,
samson-pillars,old_testament,Samson breaks the pillars; the temple of Dagon collapses,gemini:gemini-3.5-flash,collection,,"Hermitage Museum, St. Petersburg",correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-2.5-pro,title,Saul Coming to Consult the Witch of Endor.,The Dream of the Doctor (Allegory of the Transience of Life),correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-2.5-pro,artist,"Cornelisz van Oostsanen, Jacob",Follower of Hieronymus Bosch,correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-2.5-pro,date,1500,c. 1500,correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-2.5-pro,collection,,"The Courtauld, London",correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-3.5-flash,title,Saul Coming to Consult the Witch of Endor.,The Sorceress,correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-3.5-flash,artist,"Cornelisz van Oostsanen, Jacob",Jan de Beer,correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-3.5-flash,date,1500,1506,correct,
saul-witch-endor,old_testament,Saul Coming to Consult the Witch of Endor,gemini:gemini-3.5-flash,collection,,British Museum,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-2.5-pro,title,The Forces of Sennacherib put to Rout by the Angel.,The Defeat of Sennacherib,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-2.5-pro,artist,Tanzio da Varallo,Peter Paul Rubens,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-2.5-pro,date,1574-1635,c. 1612-1614,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-2.5-pro,collection,,"Alte Pinakothek, Munich",correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-3.5-flash,title,The Forces of Sennacherib put to Rout by the Angel.,The Defeat of Sennacherib,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-3.5-flash,artist,Tanzio da Varallo,Tanzio da Varallo,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-3.5-flash,date,1574-1635,ca. 1627-1629,correct,
sennacherib-angel,old_testament,The Forces of Sennacherib put to Rout by the Angel,gemini:gemini-3.5-flash,collection,,"Museo Civico, Novara",correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-2.5-pro,title,Tobit Blessing Tobias.,Tobit Blessing his Son,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-2.5-pro,artist,"Preti, Mattia",Bernardo Strozzi,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-2.5-pro,date,1633-1699,c. 1630-1635,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-2.5-pro,collection,,"The State Hermitage Museum, St. Petersburg",correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-3.5-flash,title,Tobit Blessing Tobias.,The Departure of Tobias,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-3.5-flash,artist,"Preti, Mattia",Matthias Stom,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-3.5-flash,date,1633-1699,c. 1640,correct,
tobit-tobias,old_testament,Tobit Blessing Tobias,gemini:gemini-3.5-flash,collection,,,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-2.5-pro,title,The Marriage of Alexander and Roxane,The Marriage of Alexander and Roxana,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-2.5-pro,artist,"Il Sodoma (Bazzi, Giovanni Antonio)",Il Sodoma (Giovanni Antonio Bazzi),correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-2.5-pro,date,1517-1519,c. 1517,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-2.5-pro,collection,"Villa Farnesina, Rome",Villa Farnesina,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-3.5-flash,title,The Marriage of Alexander and Roxane,The Wedding of Alexander and Roxana,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-3.5-flash,artist,"Il Sodoma (Bazzi, Giovanni Antonio)",Il Sodoma,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-3.5-flash,date,1517-1519,c. 1519,correct,
alexander-roxane-marriage,historical,The Marriage of Alexander and Roxane,gemini:gemini-3.5-flash,collection,"Villa Farnesina, Rome","Villa Farnesina, Rome",correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-2.5-pro,title,The Sacrifice of King Codrus of Athens,The Triumph of Furius Camillus,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-2.5-pro,artist,"Beccafumi, Domenico",Francesco Salviati,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-2.5-pro,date,1529-1535,c. 1543-1545,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-2.5-pro,collection,"Palazzo Pubblico, Siena","Palazzo Vecchio, Florence",correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-3.5-flash,title,The Sacrifice of King Codrus of Athens,Cincinnatus Called from the Plow,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-3.5-flash,artist,"Beccafumi, Domenico",Nicolò dell'Abate,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-3.5-flash,date,1529-1535,c. 1550,correct,
beccafumi-codrus-sacrifice,historical,The Sacrifice of King Codrus of Athens,gemini:gemini-3.5-flash,collection,"Palazzo Pubblico, Siena","Palazzo Poggi, Bologna",correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-2.5-pro,title,The Arrest of Charlotte Corday,Charlotte Corday being led to her execution,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-2.5-pro,artist,"Scheffer, Henri",Henry Chaffer,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-2.5-pro,date,1830,1860,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-2.5-pro,collection,"Musée des Beaux-Arts, Grenoble",Warrington Museum & Art Gallery,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-3.5-flash,title,The Arrest of Charlotte Corday,An Episode of the French Revolution,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-3.5-flash,artist,"Scheffer, Henri",Henry Chaffer,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-3.5-flash,date,1830,1860,correct,
charlotte-corday-arrest,historical,The Arrest of Charlotte Corday,gemini:gemini-3.5-flash,collection,"Musée des Beaux-Arts, Grenoble",Salford Museum and Art Gallery,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-2.5-pro,title,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,The Coronation of Napoleon,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-2.5-pro,artist,"David, Jacques-Louis",Jacques-Louis David,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-2.5-pro,date,1805-1807,1807,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-2.5-pro,collection,Musée du Louvre,Louvre Museum,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-3.5-flash,title,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,The Coronation of Napoleon,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-3.5-flash,artist,"David, Jacques-Louis",Jacques-Louis David,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-3.5-flash,date,1805-1807,1807,correct,
david-napoleon-coronation,historical,The Consecration of the Emperor Napoleon and the Coronation of the Empress Josephine,gemini:gemini-3.5-flash,collection,Musée du Louvre,Louvre Museum,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-2.5-pro,title,Death of General Wolfe at the Battle of Quebec,The Death of General Wolfe,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-2.5-pro,artist,"West, Benjamin",Benjamin West,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-2.5-pro,date,1770,1770,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-2.5-pro,collection,National Gallery of Canada,National Gallery of Canada,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-3.5-flash,title,Death of General Wolfe at the Battle of Quebec,The Death of General Wolfe,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-3.5-flash,artist,"West, Benjamin",Benjamin West,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-3.5-flash,date,1770,1770,correct,
death-of-general-wolfe,historical,Death of General Wolfe at the Battle of Quebec,gemini:gemini-3.5-flash,collection,National Gallery of Canada,National Gallery of Canada,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-2.5-pro,title,Death of Francesca da Rimini and of Paolo Malatesta,Paolo and Francesca da Rimini,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-2.5-pro,artist,"Cabanel, Alexandre",Charles-Édouard de Beaumont,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-2.5-pro,date,1870,1875,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-2.5-pro,collection,Musée d'Orsay,,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-3.5-flash,title,Death of Francesca da Rimini and of Paolo Malatesta,The Death of Francesca da Rimini and Paolo Malatesta,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-3.5-flash,artist,"Cabanel, Alexandre",Alexandre Cabanel,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-3.5-flash,date,1870,1870,correct,
francesca-da-rimini-death,historical,Death of Francesca da Rimini and of Paolo Malatesta,gemini:gemini-3.5-flash,collection,Musée d'Orsay,Musée d'Orsay,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-2.5-pro,title,Lady Godiva,Lady Godiva,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-2.5-pro,artist,"Lefebvre, Jules Joseph",Jules Lefebvre,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-2.5-pro,date,1891,1890,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-2.5-pro,collection,"Musée de Picardie, Amiens","Musée d'Orsay, Paris",correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-3.5-flash,title,Lady Godiva,Lady Godiva,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-3.5-flash,artist,"Lefebvre, Jules Joseph",Jules Joseph Lefebvre,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-3.5-flash,date,1891,1890,correct,
lady-godiva-lefebvre,historical,Lady Godiva,gemini:gemini-3.5-flash,collection,"Musée de Picardie, Amiens",Musée de Picardie,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-2.5-pro,title,Arrest of the Old Believer noblewoman Feodosia Morozova (Boyarynya Morozova),Boyarynya Morozova,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-2.5-pro,artist,"Surikov, Vasily",Vasily Surikov,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-2.5-pro,date,1887,1887,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-2.5-pro,collection,"Tretyakov Gallery, Moscow",State Tretyakov Gallery,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-3.5-flash,title,Arrest of the Old Believer noblewoman Feodosia Morozova (Boyarynya Morozova),Boyarynya Morozova,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-3.5-flash,artist,"Surikov, Vasily",Vasily Surikov,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-3.5-flash,date,1887,1887,correct,
morozova-arrest,historical,Arrest of the Old Believer noblewoman Feodosia Morozova,gemini:gemini-3.5-flash,collection,"Tretyakov Gallery, Moscow",Tretyakov Gallery,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-2.5-pro,title,Bonaparte Visiting the Pesthouse in Jaffa,Bonaparte Visiting the Plague-Stricken of Jaffa,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-2.5-pro,artist,"Gros, Antoine-Jean",Antoine-Jean Gros,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-2.5-pro,date,1804,1804,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-2.5-pro,collection,Musée du Louvre,Louvre Museum,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-3.5-flash,title,Bonaparte Visiting the Pesthouse in Jaffa,Bonaparte Visiting the Plague Victims of Jaffa,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-3.5-flash,artist,"Gros, Antoine-Jean",Antoine-Jean Gros,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-3.5-flash,date,1804,1804,correct,
napoleon-jaffa-pesthouse,historical,Bonaparte Visiting the Pesthouse in Jaffa,gemini:gemini-3.5-flash,collection,Musée du Louvre,Musée du Louvre,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-2.5-pro,title,Phaedra,Cleopatra Testing Poisons on Condemned Prisoners,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-2.5-pro,artist,"Cabanel, Alexandre",Alexandre Cabanel,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-2.5-pro,date,1880,1887,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-2.5-pro,collection,"Musée Fabre, Montpellier",Royal Museum of Fine Arts Antwerp,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-3.5-flash,title,Phaedra,Phaedra,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-3.5-flash,artist,"Cabanel, Alexandre",Alexandre Cabanel,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-3.5-flash,date,1880,1880,correct,
phaedra-cabanel,historical,Phaedra,gemini:gemini-3.5-flash,collection,"Musée Fabre, Montpellier",Musée Fabre,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-2.5-pro,title,The Raft of the Medusa,The Raft of the Medusa,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-2.5-pro,artist,"Géricault, Théodore",Théodore Géricault,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-2.5-pro,date,1818-1819,1818–1819,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-2.5-pro,collection,Musée du Louvre,Louvre Museum,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-3.5-flash,title,The Raft of the Medusa,The Raft of the Medusa,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-3.5-flash,artist,"Géricault, Théodore",Théodore Géricault,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-3.5-flash,date,1818-1819,1818–1819,correct,
raft-of-the-medusa,historical,The Raft of the Medusa,gemini:gemini-3.5-flash,collection,Musée du Louvre,Musée du Louvre,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-2.5-pro,title,Rejtan (The Fall of Poland),Rejtan – The Fall of Poland,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-2.5-pro,artist,"Matejko, Jan",Jan Matejko,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-2.5-pro,date,1866,1866,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-2.5-pro,collection,"Royal Castle, Warsaw","Royal Castle, Warsaw",correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-3.5-flash,title,Rejtan (The Fall of Poland),"Rejtan, or the Fall of Poland",correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-3.5-flash,artist,"Matejko, Jan",Jan Matejko,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-3.5-flash,date,1866,1866,correct,
rejtan-fall-of-poland,historical,Tadeusz Rejtan's protest against the First Partition of Poland (Rejtan),gemini:gemini-3.5-flash,collection,"Royal Castle, Warsaw","Royal Castle, Warsaw",correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-2.5-pro,title,Cardinal Richelieu at the Siege of La Rochelle,Cardinal Richelieu at the Siege of La Rochelle,correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-2.5-pro,artist,"Motte, Henri-Paul",Henri-Paul Motte,correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-2.5-pro,date,1881,1881,correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-2.5-pro,collection,"Musée d'Orbigny-Bernon, La Rochelle","Musée d'Orbigny-Bernon, La Rochelle",correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-3.5-flash,title,Cardinal Richelieu at the Siege of La Rochelle,Cardinal Richelieu at the Siege of La Rochelle,correct,
richelieu-la-rochelle,historical,Cardinal Richelieu at the Siege of La Rochelle,gemini:gemini-3.5-flash,artist,"Motte, Henri-Paul",Henri-Paul Motte,correct,
